"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"THAP4",-0.529654921257313,-0.28758876707041,-3.76789213319337,0.0001948661409984,0.000759133807367165,-0.314286368058571
"RBMX",0.277231288188667,0.284722087701743,3.7670441110771,0.000195501513295426,0.000761144611214203,-0.317343285470558
"PPID",0.336243738962304,0.245243424678373,3.76497514904742,0.00019705987807219,0.000766744254412513,-0.324798751341429
"RPS8",0.324134760916748,0.212295513744737,3.76460342420138,0.000197341104853502,0.000767370861443126,-0.326137856651103
"LAMTOR5",-0.291407820375287,0.130755688960375,-3.7631335843612,0.00019845682020835,0.000771239681698306,-0.331431634286194
"CANX",0.448448043711323,0.0349342227911717,3.76204030192315,0.000199290559314002,0.00077400865037707,-0.33536797205675
"ACIN1",0.272322328262686,0.155642130504215,3.76122632920953,0.000199913441952727,0.000775955821804352,-0.338297980182062
"SIGLEC1",-0.479561953114918,-0.373686885165899,-3.76021156107334,0.000200692554066316,0.000778506657177051,-0.341949964654662
"MDC1",0.401548700764355,-0.0812234661917466,3.75836176224668,0.000202120158689172,0.000783568435476843,-0.348604761365685
"NT5C",-0.381232172492148,-0.230401858318536,-3.75713126276359,0.000203075113448984,0.000786792839424612,-0.35302991563395
"HTATSF1",0.380686680566143,0.168269470602277,3.75669140178223,0.000203417508537791,0.000787641474841597,-0.35461143249171
"CROCC",0.386076808445429,-0.300296652157108,3.75544463756508,0.000204390973283419,0.00079093112994826,-0.359093240371557
"ITGB5",0.462270400285006,0.17222395284925,3.75436630083209,0.000205236474610766,0.000793586439592464,-0.36296849206841
"GNL2",0.395995045906968,0.226809549048282,3.75411060959763,0.000205437440258171,0.000793586439592464,-0.363887227657412
"SSBP3",0.441742915501474,-0.0162462924449062,3.75409461069351,0.000205450021087916,0.000793586439592464,-0.363944712124805
"PSMG1",0.37576653589012,0.183180918789593,3.75383804005293,0.000205651876213556,0.000793885870389091,-0.364866546210712
"TPR",0.206039176365443,0.257877801067472,3.75283479641498,0.000206442968859121,0.000796182063087195,-0.368470550695117
