"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCNT1",0.292772472978941,0.0788883670139711,3.06506095991678,0.00235528708951829,0.00764929199724021,-2.64799137348597
"TCOF1",0.278220510661217,0.227452351923458,3.06175180404922,0.00238074439100368,0.00772803911365456,-2.65783072531026
"HLA-C",-0.877284641116676,-0.920256976111157,-3.06022245508122,0.00239259494428661,0.00776256032483233,-2.66237465662338
"TPM1",0.493012679825326,-1.40029675503603,3.05883313929209,0.00240340741112682,0.00779368020317152,-2.66650066866791
"YIPF5",0.365517246387503,-0.00666499910375372,3.05838058192219,0.00240693916679733,0.00780117085279236,-2.66784429852139
"UBA3",0.20365745307425,0.0294811669204678,3.05625765537329,0.00242357026061019,0.0078510888452542,-2.67414469943819
"RAB30",0.391024004887557,-0.0960362373238418,3.05376361890418,0.00244324358570148,0.00791080643747664,-2.68154119620199
"SRRM2",0.153308869711703,0.160047976975639,3.05287864693034,0.00245025958949778,0.00792950201669706,-2.68416436227303
"NECAP2",-0.196034960620854,0.0907867908263045,-3.05023009881821,0.0024713679213806,0.00799280202496664,-2.69201069281004
"HSDL2",-0.402158839146565,-0.19229215348266,-3.05011072138452,0.00247232325752688,0.00799280202496664,-2.69236419718903
"SERINC3",0.538123856634188,-0.124289818317984,3.0498858698149,0.00247412358838099,0.00799457444929788,-2.69302999953799
"RPS6KB1",0.212021131187338,0.137145702208021,3.04962755874447,0.00247619330839144,0.00799721511081402,-2.69379482072189
"CCL18",-0.652829763976085,-0.158971299563092,-3.0490210092871,0.00248105954899103,0.00800888029338105,-2.69559048402643
"DERL1",0.432794565424547,-0.151990247192277,3.04804646362184,0.00248889656795516,0.00803011853784421,-2.69847487721102
"CLASRP",0.26006746123339,0.144984996993913,3.04590378219407,0.00250620746511053,0.00808188619430846,-2.7048135737763
"TTC5",-0.216888148474479,-0.00182443249769475,-3.04572058569633,0.00250769264696661,0.0080825934128631,-2.70535532865039
"RAB23",-0.351104336339564,-0.357008896680915,-3.04479306200276,0.00251522454236733,0.00809510595509685,-2.70809776033715
"PDLIM7",0.416890187625476,-0.641498749500001,3.04477490110236,0.00251537222404505,0.00809510595509685,-2.70815144922876
"RNF185",0.327689279520142,-0.115459831381896,3.04477415838416,0.00251537826388601,0.00809510595509685,-2.70815364491287
"TMEM106B",0.381990706919491,-0.0162989914173607,3.04353653301639,0.00252546126084664,0.00812166521949655,-2.71181171060092
"COQ7",-0.337651685648844,-0.15732129054961,-3.0434491029027,0.00252617496098984,0.00812166521949655,-2.71207007578259
"PAICS",0.367412572357937,0.191616683089333,3.04253879663192,0.00253361689327624,0.00814149162736226,-2.71475970974744
"PDLIM3",0.392827257699311,-0.601538336729173,3.04069544243503,0.00254874840536567,0.00818599525566387,-2.72020384167998
"TARS2",0.33637874740977,0.07515389252175,3.04026579131973,0.0025522871857692,0.00819323965869098,-2.72147231798244
"CCDC92",-0.226136085120131,-0.110107470165864,-3.03968792939947,0.00255705380855524,0.00820441636564082,-2.72317809579108
"MRPL57",0.332404270560469,0.233085560579075,3.03931468562013,0.00256013693861902,0.00821018300004141,-2.72427970289643
"LANCL2",-0.29572586386567,-0.0548529075140344,-3.03825428081326,0.00256891491297119,0.00823317817809597,-2.72740872761497
